regime,signal,h,n_days,n_sig,n_epi,effect_pct,t_naive,p_naive,t_hac,p_hac,p_clu,p_nov_med,p_nov_min,n_off,p_boot
2000-2010 sideways/bear,CMO > 30,20,2475,371,164,0.1896139676472018,0.9370501840988359,0.349026075894194,0.3668344816891017,0.7137424853043729,0.7701806816408526,0.7619103995187793,0.09407471401156044,20,0.7102
2010-2016 bull,CMO < -30,5,1659,131,71,0.6839084552230963,2.942543215262852,0.0038037004327855935,2.174308348414693,0.029681985870879855,0.006951454937067237,0.1989936292949603,0.029583494112313664,5,0.0322
2010-2016 bull,CMO < -30,10,1654,131,71,1.0565209969364577,3.7537216947424032,0.0002516981778743284,2.414258144470694,0.015767286921486847,0.014497906518956676,0.1808476458481679,0.041141678633468313,10,0.0212
2010-2016 bull,CMO < -30,20,1644,131,71,2.1512737618175883,7.2762978194667784,1.5188965986190474e-11,4.39648177286719,1.1001959482717792e-05,6.748025974551806e-05,0.049580474726025024,0.0009425260453159465,15,0.0
2010-2016 bull,CMO > 30,5,1659,414,121,-0.14366557435986885,-1.639191661953111,0.10144058094624381,-1.005586373048768,0.3146145816724254,0.3103275414593414,0.509567681000472,0.24170588558628736,5,0.3114
2010-2016 bull,CMO > 30,10,1654,414,121,-0.3067104145740368,-2.4440556082095393,0.014702037397937967,-1.2196101367201932,0.22261270187940585,0.2662758209349462,0.432005388237652,0.12079499205289913,10,0.2118
2010-2016 bull,CMO > 30,20,1644,414,121,-0.907002848287242,-4.924598669755252,1.0218191463738874e-06,-2.016677317031334,0.04372919855834517,0.05529049637395035,0.25070937885855615,0.021084751826181913,20,0.044
2016-2026 bull (main sample),CMO < -30,5,2489,181,107,0.23254134006214566,0.7064336011458953,0.48080162243768093,0.4001477396011091,0.689047703827718,0.611569036270526,0.8143493300364275,0.3828396867210444,5,0.6842
2016-2026 bull (main sample),CMO < -30,10,2484,180,105,0.18702453943917566,0.4364936742476879,0.6629841203641963,0.2306715834203978,0.8175699513448804,0.7355571438339106,0.7459314824898404,0.22537220984206463,10,0.8254
2016-2026 bull (main sample),CMO < -30,20,2474,180,105,1.5337533024355163,3.1121217110598782,0.0021431379370774567,1.8391865742905669,0.0658877486965837,0.07137310684083012,0.39062162442650067,0.03176094818798694,19,0.0748
2016-2026 bull (main sample),CMO > 30,5,2489,644,225,-0.12675555635303887,-1.4515543166906915,0.14681214718242788,-0.8719487471691758,0.3832363385275501,0.35087790634703975,0.4371837130428673,0.24393452412147498,5,0.3694
2016-2026 bull (main sample),CMO > 30,10,2484,644,225,-0.32982120446032515,-2.779764607955064,0.005498041511424506,-1.2174449925063058,0.2234349533543879,0.19832419142321045,0.4651797212710132,0.12819212881954195,10,0.2138
2016-2026 bull (main sample),CMO > 30,20,2474,643,223,-0.7687212931975401,-4.599008959951159,4.563462987266531e-06,-1.638004920134985,0.101420667422622,0.09664154683860474,0.3253533024379086,0.03996081744069674,20,0.0966
full history 1992-2026,CMO < -30,5,8710,742,401,0.3670734700438445,2.8001272180122876,0.0052326728356960174,1.7166324276803253,0.08604635361523442,0.038109832081269016,0.23485872478029746,0.03156170642516319,5,0.0816
full history 1992-2026,CMO < -30,10,8705,741,399,0.5695389371565632,3.2986041259191428,0.0010148895658524085,1.7715500295285374,0.07646928092091351,0.06425585525736426,0.2625985158162845,0.024119145588818797,10,0.0742
full history 1992-2026,CMO < -30,20,8695,741,399,1.539650351728252,7.097420851693794,2.777088947015052e-12,3.2908914911356537,0.0009987042831415762,0.0016180734410361035,0.10490275500744205,0.0031672194101399743,20,0.001
full history 1992-2026,CMO > 30,5,8710,1958,699,-0.10896548125177387,-2.3652486854635804,0.018056139837077653,-1.4201794541526171,0.15555544353415143,0.18920499486035436,0.3304606189658835,0.16924097392618143,5,0.148
full history 1992-2026,CMO > 30,10,8705,1958,699,-0.19248987442368587,-3.0726827631079483,0.0021329546405847526,-1.41566559172961,0.1568734371137957,0.20654172976091623,0.2960807791695895,0.1812235911921423,10,0.1482
full history 1992-2026,CMO > 30,20,8695,1957,697,-0.2958687645263952,-3.276094513916675,0.001060420350989314,-1.2288204601888935,0.21913912858247153,0.29395805010836074,0.43004441615226335,0.1351071218918779,20,0.207
