signal,h,n_sig,n_obs,effect_pct,t_naive,p_naive,t_hac,p_hac,n_epi,t_clu,p_clu,p_nov_min,p_nov_med,p_nov_max,n_off,p_boot
McClellan-classic > 2.00 (overbought),20,148,2394,0.034326801576365674,0.10282221666786379,0.9182228536584714,0.04819050666192899,0.9615644159851438,123,0.053242518353048066,0.9575386788914928,0.03602090988377586,0.5434667130896145,0.9478293601547851,18,0.956
COMBO CMO<-30 & McClellan-classic<-2.36,5,58,2409,-0.5128762660276194,-0.7759643415364386,0.44094738746248113,-0.48570074180652995,0.6271793576345617,67,-0.5267178184485973,0.5983895599586695,0.17232198408273752,0.8888743367277707,0.9598443106544072,5,0.6151
COMBO CMO<-30 & McClellan-classic<-2.36,10,58,2404,-1.028793665372427,-1.0352713891451435,0.3048803177294785,-0.5515632688229791,0.5812476079570649,67,-0.6654269286611938,0.5057774659646005,0.01910071245308301,0.6827475864386191,0.9916633931989637,7,0.5981
COMBO CMO<-30 & McClellan-classic<-2.36,20,58,2394,0.708982512767108,0.679326975648824,0.49964025526782335,0.39517160196512946,0.6927162490522519,67,0.4405443320404934,0.6595429113097582,0.3784275464946749,0.5871933500005644,0.7012849963302253,4,0.6994
McClellan-ratio zero-cross up,5,240,2409,-0.10305588585599883,-0.6631065176591165,0.5077767613641639,-0.6962584092416171,0.4862670144989414,481,-0.5956598742518555,0.5514024691401356,0.589322664205496,0.7048310692448154,0.9091805828055123,5,0.4802
McClellan-ratio zero-cross up,10,240,2404,0.1506679669293764,0.7138537219932812,0.4758734740492497,0.7279157578991435,0.46666515639612594,481,0.5712778327350223,0.567811325587019,0.030419004431621807,0.5946168706497728,0.9846378530049616,10,0.4708
McClellan-ratio zero-cross up,20,238,2394,0.009960122457399953,0.034257921873169436,0.972694420471816,0.03601290300737014,0.9712720705165938,477,0.02643974446297417,0.9789065937231202,0.0031485196872316967,0.6044053877774707,0.9814609444643068,20,0.9716
McClellan-ratio < -8.16 (oversold),5,126,2409,-0.04483541420513201,-0.12435779819500509,0.9012253254706317,-0.08003082003033893,0.9362127437407505,119,-0.0855834054150734,0.9317975906131152,0.24067964147117427,0.7957332681983599,0.9186572404711514,5,0.9333
McClellan-ratio < -8.16 (oversold),10,126,2404,-0.5014060022729216,-0.8975434706726274,0.37111257718433693,-0.4229206227360341,0.6723531758552503,119,-0.4552815050219116,0.6489067302308451,0.1026556667982665,0.6337196835254463,0.9903383697373931,10,0.6718
McClellan-ratio < -8.16 (oversold),20,126,2394,0.2690264054902818,0.4036382069973509,0.6871444823100857,0.19869783093765175,0.8424991208556062,119,0.18749915594022196,0.8512692854157591,0.032890227956959936,0.4806360923653553,0.9505476863264901,14,0.8525
McClellan-ratio > 6.89 (overbought),5,145,2409,0.10064751972479842,0.629079745761894,0.5301131422514359,0.47529913519554023,0.6345737754088411,117,0.48747048917075253,0.6259249511105864,0.09777147772759405,0.6828131371390531,0.9634861999834907,5,0.6258
McClellan-ratio > 6.89 (overbought),10,145,2404,0.2449975637275034,1.0475267034135218,0.29632817777588555,0.6001507175332473,0.5484057944617333,117,0.6069255520395189,0.5439003198811179,0.20005603868762467,0.5185564928803096,0.9719328472422564,10,0.5439
McClellan-ratio > 6.89 (overbought),20,145,2394,0.09098399021268896,0.26895555369572893,0.7882917672349679,0.12609908101537146,0.8996534949088757,117,0.139243402202816,0.8892578125461368,0.03602090988377586,0.5331621123889312,0.9478293601547851,18,0.8972
COMBO CMO<-30 & McClellan-ratio<-8.16,5,57,2409,-0.5255072529424023,-0.7814529370070916,0.4377973288813091,-0.48911254946071053,0.6247620172693462,67,-0.5305081898040359,0.5957596322484546,0.17232198408273752,0.9028664943811388,0.9598443106544072,5,0.6137
COMBO CMO<-30 & McClellan-ratio<-8.16,10,57,2404,-1.0514989998758593,-1.0400573634351418,0.30274924635723915,-0.5544491239697745,0.5792715147905725,67,-0.6692526887761777,0.5033343011125375,0.01910071245308301,0.6827475864386191,0.9916633931989637,7,0.5966
COMBO CMO<-30 & McClellan-ratio<-8.16,20,57,2394,0.6457734087099709,0.6091330271185104,0.5448650392646083,0.35627189214425803,0.7216369569526075,67,0.3978208186828325,0.6907622700714013,0.3784275464946749,0.6371620420254844,0.7012849963302253,3,0.7248
