signal,h,n_sig,n_obs,effect_pct,t_naive,p_naive,t_hac,p_hac,n_epi,t_clu,p_clu,p_nov_min,p_nov_med,p_nov_max,n_off,p_boot
McClellan-classic > 2.03 (overbought),20,150,2394,-0.05777731883479208,-0.17334618273090466,0.8625786138034592,-0.08039931226948197,0.9359196738650943,123,-0.08900798614939252,0.9290755632845714,0.017893018989834496,0.5357247455686701,0.9358839972441804,18,0.9337
COMBO CMO<-30 & McClellan-classic<-2.40,5,59,2409,-0.6773636397495227,-1.0407001961374938,0.30229126019026836,-0.655129017669557,0.512384690734957,65,-0.7016748430208309,0.4828819651853926,0.13762576319958036,0.8344605152840884,0.9598443106544072,5,0.494
COMBO CMO<-30 & McClellan-classic<-2.40,10,59,2404,-1.2053989046545164,-1.2384315318399106,0.22050450263758,-0.6664798397262414,0.5051044455138607,65,-0.7955047676196351,0.4263199387512635,0.01910071245308301,0.6340150887164503,0.9916633931989637,7,0.5251
COMBO CMO<-30 & McClellan-classic<-2.40,20,59,2394,0.6513178655246958,0.6355947706936257,0.5275028716017027,0.3720758089260249,0.7098364070662204,65,0.4141071449329528,0.6787956404024722,0.3784275464946749,0.5441389093766795,0.7012849963302253,4,0.715
McClellan-ratio zero-cross up,5,234,2409,-0.06833957850151619,-0.4385800437315067,0.6612934215335696,-0.4527995751008004,0.6506930696150091,469,-0.39296695355398986,0.6943438892329142,0.47354251003271625,0.6973735516684895,0.9825474869919605,5,0.6476
McClellan-ratio zero-cross up,10,234,2404,0.12741073425565466,0.6011893718138013,0.5481812607325575,0.6036412908795519,0.5460821544446819,469,0.48299416102393333,0.6290998821259177,0.04669105936830189,0.6932198424010947,0.8893312598377974,10,0.5457
McClellan-ratio zero-cross up,20,232,2394,-0.01950654252712361,-0.065962396278053,0.9474535649703717,-0.06941542519113371,0.9446589510087722,465,-0.0515137540439193,0.9589161422610397,0.01694533682413518,0.6538219305845235,0.9698728527702064,20,0.942
McClellan-ratio < -8.01 (oversold),5,129,2409,-0.14210485432002443,-0.4023518437598144,0.6880737264528336,-0.2616676653732998,0.793577671435552,117,-0.28960531702224607,0.7721181988545934,0.10826724196876499,0.8485284876039852,0.9186572404711514,5,0.7818
McClellan-ratio < -8.01 (oversold),10,129,2404,-0.6835242846951844,-1.2666851846336105,0.20750776450639757,-0.6014741109638795,0.5475242501054011,117,-0.6498890550573598,0.5157638884954873,0.1026556667982665,0.5612685031961908,0.946890971121423,10,0.5563
McClellan-ratio < -8.01 (oversold),20,129,2394,0.18791984793019353,0.28804682630088346,0.7737598524931726,0.14152436891005263,0.8874557101797113,117,0.13307848177259163,0.8941313128244306,0.05093887026119715,0.46503357253254907,0.9505476863264901,14,0.8983
McClellan-ratio > 6.82 (overbought),5,148,2409,0.059733368662345236,0.3745131998710019,0.7084638421083851,0.2823513150019073,0.777674141794846,117,0.2901062543924376,0.7717349511481673,0.2014785012327647,0.7100188603682616,0.9232473302120228,5,0.7759
McClellan-ratio > 6.82 (overbought),10,148,2404,0.16232175865852325,0.6963387195341965,0.4871372084960498,0.40099617444169094,0.6884229404615787,117,0.40368054689997557,0.6864476463652227,0.15587530759559923,0.5525875514841181,0.9655300219137252,10,0.6854
McClellan-ratio > 6.82 (overbought),20,148,2394,0.0022168942496422414,0.006674816130583153,0.9946819631955696,0.0031280815173078628,0.9975041561226692,117,0.003404942499205802,0.9972832541989557,0.026370334598498718,0.501895582105601,0.8654736680410586,18,0.9974
COMBO CMO<-30 & McClellan-ratio<-8.01,5,59,2409,-0.6773636397495227,-1.0407001961374938,0.30229126019026836,-0.655129017669557,0.512384690734957,65,-0.7016748430208309,0.4828819651853926,0.13762576319958036,0.8344605152840884,0.9598443106544072,5,0.494
COMBO CMO<-30 & McClellan-ratio<-8.01,10,59,2404,-1.2053989046545164,-1.2384315318399106,0.22050450263758,-0.6664798397262414,0.5051044455138607,65,-0.7955047676196351,0.4263199387512635,0.01910071245308301,0.6340150887164503,0.9916633931989637,7,0.5251
COMBO CMO<-30 & McClellan-ratio<-8.01,20,59,2394,0.6513178655246958,0.6355947706936257,0.5275028716017027,0.3720758089260249,0.7098364070662204,65,0.4141071449329528,0.6787956404024722,0.3784275464946749,0.5441389093766795,0.7012849963302253,4,0.715
