regime,signal,h,n_sig,n_epi,effect_pct,p_hac,p_clu,p_nov_med,p_boot
2010-2016 bull,oversold,5,82,81,0.5306884013607533,0.34387375009586774,0.38154754411062863,0.4898654256768864,0.33266666666666667
2010-2016 bull,oversold,10,82,81,0.4193568419512998,0.4952738366995799,0.546934885285129,0.5519592703700188,0.49933333333333335
2010-2016 bull,oversold,20,82,81,1.3571873274485093,0.03606152877167074,0.07099523680678539,0.32850277298122943,0.03833333333333333
2010-2016 bull,overbought,5,103,91,-0.058039692956408845,0.8131398030386795,0.8234322571205794,0.9033174653036687,0.8156666666666667
2010-2016 bull,overbought,10,103,91,0.2015228374902989,0.5603290451595124,0.5892660481844927,0.8528021604464613,0.5566666666666666
2010-2016 bull,overbought,20,103,91,-0.31014825987697775,0.6140668655654948,0.6417087876157284,0.44288424283599676,0.6003333333333334
2016-2026 bull,zero-cross,5,239,479,-0.07600036108823326,0.6076348719835638,0.6550158995475998,0.7453538516259821,0.5996666666666667
2016-2026 bull,zero-cross,10,239,479,0.09510883512243562,0.645763523130622,0.7117262586168738,0.6609659439727513,0.6433333333333333
2016-2026 bull,zero-cross,20,237,475,-0.06989254878652616,0.8003100532983262,0.8507076862029914,0.5828077467376909,0.8066666666666666
2016-2026 bull,oversold,5,144,119,-0.06722888043898796,0.8926062964215777,0.8817003712796315,0.710788928804658,0.8946666666666667
2016-2026 bull,oversold,10,144,119,-0.4916546599265162,0.637656572291761,0.6131260929131481,0.721727775963958,0.6566666666666666
2016-2026 bull,oversold,20,144,119,0.35041951638756247,0.7733810507083335,0.7875719540190863,0.5256666818258604,0.775
2016-2026 bull,overbought,5,150,123,0.06519091869718677,0.7504104152631204,0.7412666095938275,0.7276622769723541,0.7456666666666667
2016-2026 bull,overbought,10,150,123,0.18252724262687825,0.6417475022512587,0.6384102220210051,0.6028004457327326,0.6273333333333333
2016-2026 bull,overbought,20,150,123,0.03193331625803049,0.9633272235352315,0.9602952300300712,0.5405001065287822,0.966
full history 1992-2026,zero-cross,5,803,1607,-0.19516791177313333,0.014848778521967797,0.037236203372778,0.39323348381139916,0.015333333333333332
full history 1992-2026,zero-cross,10,803,1607,-0.08581462374793879,0.43288680795823953,0.544708592686344,0.532774610903609,0.43766666666666665
full history 1992-2026,zero-cross,20,801,1603,-0.21202427013631694,0.22152625621013622,0.32262978722781976,0.516504870034224,0.219
full history 1992-2026,oversold,5,651,643,0.45975303591354416,0.012245286128348245,0.017198361335397563,0.06114034404274587,0.011
full history 1992-2026,oversold,10,650,641,0.3927943792722608,0.20691457859111229,0.21728758779421398,0.40330539252781145,0.19866666666666666
full history 1992-2026,oversold,20,650,641,0.9930385824520365,0.004648993238798898,0.015108889421484447,0.33515137259000416,0.006
full history 1992-2026,overbought,5,611,517,0.032900664135811435,0.7633309488397184,0.7876087422026199,0.5383174190874701,0.7536666666666667
full history 1992-2026,overbought,10,611,517,0.18851879266138447,0.3074891879579391,0.3452324659826026,0.4462183769568787,0.31366666666666665
full history 1992-2026,overbought,20,611,517,0.15800903809717326,0.6007371805581612,0.6251717801308934,0.5649832278515828,0.601
